,Ось1,Ось2,Ось3,Ось4,Ось5,Ось6
commname_Спектакль «Сон в летнюю ночь»,-0.41458803409973893,-0.23115137416466439,-0.018181300396371496,-0.001549595380713329,0.02404433323134263,0.03629581858582461
commеtheme___MISSING__,2.272500430649549,-0.12147043442031152,-0.014737015745196112,0.019658317938949885,-0.00022877333229749932,0.013825712797548894
commеtheme_Наше выступление,-0.35133211777797235,0.8686181090705536,-0.025770764258476846,0.03292356705732217,-0.16502484591447525,-0.052597136683416215
commеtheme_Постановка спектакля,-0.42067185561829984,-0.21483779962458752,0.008381441261724592,-0.014742386347004803,0.019099778812017066,-0.0076873714151897135
commеtheme_Театральные будни,-0.34558492918664807,1.0775344131090046,-0.013231528238248224,0.051306368166361756,0.036011807601217596,0.1068099425789099
commdescription___MISSING__,2.267231212065274,-0.11762445368430711,-0.013746613225895534,0.018400672793072254,0.0008652990768510099,0.013258683674298862
"commdescription_Всем привет! Это сообщество создано для участников спектакля. Здесь будет собрана важная информация, и можно просто пообщаться друг с другом. Но комментарии совсем не по делу будут удаляться. Если вы увидите, что каких-то участников тут не хватает, напишите мне.",-0.40037625088404977,0.15036941396188705,0.055047332294493295,0.04701482726255315,0.024179781806704537,-0.08389676647683206
"commdescription_Уважаемые участники спектакля! Данное сообщество предназначено для обмена важной информацией о спектакле. Кроме того, Вы можете общаться друг с другом на темы, связанные со спектаклем. Убедительно просим Вас формулировать свои мысли четко и писать в данном сообществе только о деталях постановки. Просим Вас написать администратору сообщества, какие участники спектакля еще не присутствуют здесь.",-0.4190404844493582,-0.08156003544150732,-0.02478517987998263,-0.007738314171641064,0.0006127129322334701,0.048655394463541654
commdescription_🎭Сообщество для участников спектакля «Сон в летнюю ночь». Только важное.,-0.3648478694401253,0.3419072066834341,0.043831487747821064,-0.0965059453498346,-0.06301542209823367,-0.12025043547032792
commfoto___MISSING__,2.267525189478554,-0.11607626086452354,-0.014301943818604747,0.01883383914112487,-8.05218579694796e-05,0.012796927764068962
commfoto_Изображение 1,-0.3827687986275317,0.24378424965649617,0.12746838906825364,-0.0271046026870879,-0.033523943259804984,-0.13072508025006857
commfoto_Изображение 2,-0.39795059575806135,0.3134129398496403,-0.05888285454591324,-0.06047463977267774,0.11647947855518402,-0.03372421074477062
commfoto_Изображение 3,-0.4406430776163115,-0.4069457624040151,0.01400441673800253,0.026427120786185226,-0.09669916976076218,0.03980901450605421
commfoto_Изображение 4,-0.3077960230402416,0.7392835788414727,0.158522073915264,0.01690502832315555,0.37796243055274154,0.18502424850671034
commfoto_Изображение 5,-0.40290440387281456,0.24648547388753017,-0.18489349777969177,0.04683832619960485,0.002060313473471233,0.0641149011137551
privacy___MISSING__,2.267231212065267,-0.11762445368430764,-0.013746613225895614,0.018400672793072986,0.0008652990768505223,0.013258683674299257
privacy_Закрытое,-0.4260749571486335,-0.29093020562917005,-0.04948745199543568,-0.011436847371648214,0.027353739680280553,-0.009303669127513787
privacy_Открытое,-0.37134837103027685,0.689758519647624,0.11378254485422533,0.014076155467599412,-0.05907927359345921,0.01241905532096699
